$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
be_Data/Managed/UnityEngine.VehiclesModule.dll   PE32  managed      31144   csc 8.00 hash 0xCDB744D6     2026-06-05 17:02:43 
drobe_Data/Managed/UnityEngine.VideoModule.dll   PE32  managed      49064   csc 8.00 hash 0xC3886B19     2026-06-05 17:02:32 
Managed/UnityEngine.VirtualTexturingModule.dll   PE32  managed      42920   csc 8.00 hash 0x9947893E     2026-06-05 17:02:32 
rdrobe_Data/Managed/UnityEngine.WindModule.dll   PE32  managed      26536   csc 8.00 hash 0xE2E26879     2026-06-05 17:02:32 
/Managed/UnityEngine.XR.LegacyInputHelpers.dll   PE32  managed      23552  csc 48.00 hash 0xCC45F59D     2026-06-05 17:02:34 
Wardrobe_Data/Managed/UnityEngine.XRModule.dll   PE32  managed      87976   csc 8.00 hash 0xF0BC95D7     2026-06-05 17:02:43 
The Wardrobe_Data/Managed/UnityEngine.dll        PE32  managed     196520  csc 48.00 hash 0x8B5A11B2     2026-06-05 17:02:32 
The Wardrobe_Data/Managed/UsersImport.dll        PE32  managed      41984  csc 48.00 2020-04-20 12:32:47 2026-06-05 17:02:32 UsersImport
 Wardrobe_Data/Managed/XboxOneCommonImport.dll   PE32  managed      28160  csc 48.00 2020-04-20 12:32:27 2026-06-05 17:02:31 XboxOneCommonImport
The Wardrobe_Data/Managed/mscorlib.dll           PE32  managed    4632064   csc 8.00 hash 0xDD90C570     2026-06-05 17:02:28 Mono development team
The Wardrobe_Data/Managed/netstandard.dll        PE32  managed      90112  csc 48.00 hash 0xC5847D96     2026-06-05 17:02:30 Mono development team
obe_Data/Plugins/ARM64/Rewired_DirectInput.dll  PE32+   native      96768      14.34 2024-02-13 21:44:24 2026-06-05 17:02:31 
